agent,model,runs,tasks,success_rate,task_adjusted_success_lift,trace_coverage,mean_tool_call_count,mean_duration_seconds,mean_cost_cents,mean_first_edit_step,mean_command_intent_entropy,mean_tool_category_entropy,mean_failure_rate,mean_repeated_tool_command_rate,mean_post_failure_tool_calls,mean_search_intent_calls,mean_read_intent_calls,mean_test_intent_calls,mean_build_intent_calls,search_read_share,verification_share,exploration_raw,recovery_churn_raw,success,task_lift,tool_intensity,exploration_diversity,search_read_intensity,edit_eagerness,verification_intensity,recovery_churn,group_label,spider_area
terminus-3-3,claude-opus-4-6@anthropic,442,89,0.7489,0.3516,0.5588,28.6335,852.9031,84.9226,,2.191,0.4882,0.0493,0.2523,17.4299,1.1176,4.5701,0.0656,0.3846,0.1986,0.0157,1.3396,0.1654,1.0,0.9987,0.2201,0.6844,0.5041,0.6476,0.3159,0.1839,terminus-3-3 / claude-opus-4-6@anthropic,0.5693
terminus-3-3,gemini-3.1-pro-preview@Google,445,89,0.7483,0.3525,0.9685,39.5034,626.2072,75.4957,,2.0566,0.4449,0.0588,0.2375,22.0831,1.4225,7.1011,0.0742,0.6921,0.2158,0.0194,1.2507,0.1826,0.9992,1.0,0.3216,0.6216,0.5616,0.6476,0.3898,0.2177,terminus-3-3 / gemini-3.1-pro-preview@Google,0.5949
judy,claude-opus-4.6@anthropic,445,89,0.7191,0.3233,0.3528,15.782,903.0114,0.0,10.0438,1.0898,1.2869,0.0544,0.7528,7.4652,0.0,1.4966,0.0,0.0,0.0948,0.0,1.1884,0.2933,0.9586,0.9594,0.1001,0.5775,0.1552,0.8287,0.0,0.4347,judy / claude-opus-4.6@anthropic,0.5018
deepagent-harbor,gpt-5.2-codex@openai,433,89,0.6767,0.272,0.963,26.3764,749.5439,0.0,15.4214,1.6966,1.2521,0.0941,0.2038,18.6536,0.0069,7.5058,0.0993,0.3695,0.2848,0.0178,1.4743,0.1691,0.8996,0.8881,0.199,0.7796,0.7937,0.6507,0.3571,0.1913,deepagent-harbor / gpt-5.2-codex@openai,0.5949
terminus-2,claude-opus-4-6@anthropic,445,89,0.6292,0.2334,1.0,31.3438,723.7889,50.0315,,2.0268,0.4341,0.0447,0.1611,12.2517,1.591,5.3303,0.0989,0.3528,0.2208,0.0144,1.2305,0.1124,0.8335,0.8346,0.2454,0.6073,0.5786,0.6476,0.2896,0.08,terminus-2 / claude-opus-4-6@anthropic,0.5146
claude-code,claude-opus-4-6@anthropic,445,89,0.5798,0.184,0.9775,27.3348,573.3314,0.0,17.5191,1.9872,1.4153,0.0705,0.2375,14.7933,0.3079,4.2719,0.0607,0.618,0.1675,0.0248,1.7013,0.1568,0.7648,0.7659,0.208,0.9399,0.3995,0.5813,0.4989,0.1671,claude-code / claude-opus-4-6@anthropic,0.5407
terminus-2,claude-opus-4-5-20251101@anthropic,445,89,0.5775,0.1817,1.0,44.5978,713.6813,57.5539,,2.0179,0.4011,0.0563,0.1911,25.2697,2.1416,7.009,0.0787,0.9528,0.2052,0.0231,1.2095,0.1793,0.7616,0.7628,0.3692,0.5925,0.526,0.6476,0.4647,0.2112,terminus-2 / claude-opus-4-5-20251101@anthropic,0.5419
terminus-2,gemini-3-pro-preview@gemini,445,89,0.5685,0.1727,1.0,30.209,548.5906,45.9953,,2.154,0.4754,0.0623,0.1955,11.7775,1.6494,4.3124,0.0854,0.982,0.1974,0.0353,1.3147,0.1277,0.7491,0.7503,0.2348,0.6668,0.4997,0.6476,0.71,0.1101,terminus-2 / gemini-3-pro-preview@gemini,0.5461
terminus-2,gpt-5.2@openai,444,89,0.5405,0.144,0.9977,47.5766,810.94,0.0,,2.0749,0.3233,0.0124,0.1874,2.75,4.3491,5.7095,0.1667,0.5788,0.2114,0.0157,1.1991,0.0716,0.7102,0.7104,0.397,0.5851,0.547,0.6476,0.3149,0.0,terminus-2 / gpt-5.2@openai,0.489
terminus-2,glm-5@z-ai,442,89,0.5226,0.1266,0.8507,34.7489,920.7622,0.0,,1.9808,0.3583,0.0789,0.2119,18.0679,1.1176,5.6131,0.0633,0.6471,0.1937,0.0204,1.1695,0.1644,0.6853,0.6862,0.2772,0.5642,0.4874,0.6476,0.4108,0.182,terminus-2 / glm-5@z-ai,0.4926
claude-code,claude-opus-4-5-20251101@anthropic,445,89,0.5213,0.1255,0.9798,36.8809,547.408,0.0,23.5664,1.8254,1.2302,0.0845,0.2258,23.1978,0.8629,5.5573,0.0584,1.1371,0.1741,0.0324,1.5278,0.1918,0.6835,0.6847,0.2971,0.8173,0.4215,0.3811,0.6513,0.2357,claude-code / claude-opus-4-5-20251101@anthropic,0.5215
openhands,claude-opus-4-5-20251101@anthropic,445,89,0.5191,0.1233,0.9843,37.9371,716.9731,0.0,6.5689,2.0959,1.3292,0.0736,0.3334,25.1146,1.036,1.573,0.1303,0.5978,0.0688,0.0192,1.7125,0.2319,0.6804,0.6816,0.307,0.9479,0.0676,0.9437,0.3856,0.3142,openhands / claude-opus-4-5-20251101@anthropic,0.541
terminus-2,gemini-3-flash-preview@gemini,445,89,0.5169,0.121,0.9978,34.7506,547.1756,0.0,,2.0373,0.4435,0.0759,0.2102,20.0966,2.8315,5.6652,0.1056,0.7101,0.2445,0.0235,1.2404,0.1711,0.6772,0.6785,0.2772,0.6143,0.6582,0.6476,0.4717,0.1951,terminus-2 / gemini-3-flash-preview@gemini,0.5275
