agent,runs,success_rate,mean_reward,median_duration_seconds,mean_input_tokens,mean_output_tokens,mean_cost_cents,trace_coverage,mean_step_count,mean_tool_call_count,mean_shell_tool_calls,mean_read_tool_calls,mean_edit_tool_calls,mean_other_tool_calls,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_longest_same_category_run,mean_repeated_tool_command_rate,mean_tool_category_entropy,mean_command_intent_entropy,mean_intent_switch_rate,mean_failed_tool_call_count,mean_failure_rate,mean_first_failure_step,mean_post_failure_tool_calls,mean_post_failure_intent_entropy,mean_inspect_intent_calls,mean_search_intent_calls,mean_read_intent_calls,mean_edit_intent_calls,mean_test_intent_calls,mean_build_intent_calls,mean_dependency_intent_calls,mean_run_intent_calls,mean_plan_intent_calls,mean_other_intent_calls,conditional_mean_category_switch_rate_failure,conditional_mean_category_switch_rate_success,conditional_mean_step_count_failure,conditional_mean_step_count_success,conditional_mean_tool_call_count_failure,conditional_mean_tool_call_count_success,tool_call_success_minus_failure,mean_shell_tool_share,mean_read_tool_share,mean_edit_tool_share,mean_other_tool_share,mean_inspect_intent_share,mean_search_intent_share,mean_read_intent_share,mean_edit_intent_share,mean_test_intent_share,mean_build_intent_share,mean_dependency_intent_share,mean_run_intent_share,mean_plan_intent_share,mean_other_intent_share,task_adjusted_success_lift,task_agent_cells
terminus-2,17431,0.3358,0.3358,435.703,613691.7976,16986.6437,39.2666,0.9145,25.0045,40.2291,38.6464,0.0,0.0,1.5828,,,0.0909,37.2865,0.2356,0.3879,1.9418,0.6268,3.336,0.087,7.4875,19.6068,1.8617,3.5768,1.7689,6.3618,2.6197,0.1081,0.979,1.5433,4.7345,0.0,16.5525,0.096,0.0805,32.0631,17.5278,50.0745,31.3407,-18.7338,0.9606564998274469,0.0,0.0,0.039343500172552955,0.08891076360147256,0.043970658055984345,0.15813925740322302,0.06511952790393023,0.0026871095798812303,0.02433561774934065,0.038362777193623514,0.11768843946297579,0.0,0.41145588641058334,-0.06123115713384201,89
mini-swe-agent,6663,0.2277,0.2277,277.845,738016.5304,19399.3106,28.5116,0.9748,22.6899,20.2173,20.2173,0.0,0.0,0.0,,,0.0,20.2173,0.0755,0.0,1.5176,0.6122,2.8796,0.1364,6.2726,13.638,1.4781,1.3258,1.0029,3.4472,1.7315,0.0569,0.5175,1.0522,2.4184,0.0,7.4214,0.0,0.0,24.3152,19.8695,21.6933,17.6131,-4.0802,1.0,0.0,0.0,0.0,0.06557750045752894,0.04960603047884732,0.17050743670025176,0.08564447280299545,0.0028144213124403354,0.02559688979240551,0.052044536115109334,0.1196203251670599,0.0,0.36708165778813195,-0.1682486717694732,89
openhands,6198,0.2815,0.2815,606.624,1834626.218,27077.6404,157.5779,0.9769,128.3985,69.087,43.8412,0.0,16.5344,4.2383,14.2561,8.188,0.2268,21.864,0.6049,1.0652,1.9252,0.3431,4.7336,0.061,19.9194,52.1592,1.875,4.1075,2.5106,3.5597,19.383,0.2186,1.5791,4.2149,11.6618,4.4731,14.9732,0.2177,0.2483,157.3153,67.4986,77.6863,53.5089,-24.1774,0.6345804890693856,0.0,0.23932685818108787,0.061347357899677955,0.059454021740703744,0.03633968764022175,0.051524888908188224,0.28055929480220587,0.003164126391361616,0.022856687944186313,0.061008583380375465,0.16879876098252927,0.06474590009697916,0.2167296307554243,-0.11438741529525653,89
codex,3532,0.4522,0.4522,283.184,884360.0568,13966.8543,9.4804,0.3992,7.8202,6.0243,5.7044,0.0,0.0,0.013,,,0.1452,5.3058,0.0802,0.2269,1.4354,0.6409,0.7404,0.1145,6.4921,4.1141,1.377,0.4929,0.3805,0.7687,0.472,0.0218,0.0762,0.137,1.0549,0.3069,2.3134,0.105,0.2154,19.1972,20.3564,14.6806,15.8931,1.2125,0.9468935050286681,0.0,0.0,0.0021618573174170506,0.08181863453015288,0.0631608651627575,0.12759988712381523,0.07834935179190942,0.003618677688694122,0.012648772471490464,0.022741231346380494,0.17510748136712978,0.05094367810368009,0.38401142041399,0.055898046432616075,89
claude-code,3092,0.4033,0.4033,306.992,1651649.2738,2056.5421,54.6992,0.8157,51.2898,27.881,16.0712,3.0747,4.7164,1.2584,22.9,11.0954,0.522,7.5204,0.2714,1.2759,1.8553,0.671,2.6271,0.0826,20.3803,17.5356,1.875,1.3684,0.6882,3.903,5.5695,0.0602,0.792,0.9172,2.9887,2.7603,8.8334,0.5178,0.527,72.5137,50.4104,38.9761,27.9754,-11.0007,0.5764198218262807,0.11027978841870824,0.1691606347438753,0.04513502227171492,0.04908001865069402,0.024683476202431765,0.1399878053154478,0.19975969298088303,0.0021591765001255335,0.028406441662781105,0.03289695491553388,0.10719486388580036,0.09900290520426097,0.3168250780101144,0.007053428201811132,89
Factory Droid,2224,0.6731,0.6731,424.5405,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.27713489208633096,89
gemini-cli,1766,0.3352,0.3352,439.0575,741468.7368,20613.5224,15.772,0.4456,8.0193,7.2786,4.0572,0.9122,1.8409,0.4683,4.8892,3.9005,0.5496,2.0685,0.259,1.025,1.4186,0.7051,2.761,0.3387,3.4114,5.5408,1.4128,0.1506,0.1263,1.0521,2.2701,0.0345,0.2254,0.5119,1.0872,0.0,1.8205,0.5511,0.544,18.4921,15.9346,16.9227,13.8889,-3.0338,0.5574140345417768,0.12533063637778125,0.25291737980395207,0.06433794927648981,0.020690792185310364,0.017352238067760282,0.1445470282746682,0.3118869013271783,0.004739922512571099,0.030967493748797845,0.07032945896188827,0.14936938422224053,0.0,0.2501167806995851,-0.06084439411098528,89
letta-code,1335,0.5618,0.5618,369.707,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.1659921348314607,89
goose,1332,0.4422,0.4422,306.138,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.04671516516516516,89
mux,1068,0.662,0.662,420.8155,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.2661831460674157,89
