agent,model,runs,success_rate,mean_reward,median_duration_seconds,mean_cost_cents,mean_input_tokens,mean_output_tokens,trace_coverage,mean_tool_call_count,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_repeated_tool_command_rate,mean_failure_rate,mean_post_failure_intent_entropy
forge,gemini-3.1-pro-preview@Google,445,0.7843,0.7843,284.894,0.0,,,0.0,0.0,,,,,,
Factory Droid,gpt-5.3-codex@openai,445,0.773,0.773,403.012,0.0,,,0.0,0.0,,,,,,
simple_codex,gpt-5.3-codex@openai,443,0.7494,0.7494,655.551,0.0,,,0.0,0.0,,,,,,
terminus-3-3,claude-opus-4-6@anthropic,442,0.7489,0.7489,659.582,84.9226,1502096.5045,22645.6425,0.5588,28.6335,,,0.1434,0.2523,0.0493,2.088
terminus-3-3,gemini-3.1-pro-preview@Google,445,0.7483,0.7483,446.995,75.4957,987768.8607,28923.3461,0.9685,39.5034,,,0.0822,0.2375,0.0588,1.9336
judy,claude-opus-4.6@anthropic,445,0.7191,0.7191,598.321,0.0,,,0.3528,15.782,10.0438,13.4964,0.3702,0.7528,0.0544,0.9393
ruley,gpt-5.3-codex@OpenAI,445,0.7034,0.7034,408.737,0.0,,,0.0,0.0,,,,,,
Factory Droid,claude-opus-4-6@anthropic,445,0.6989,0.6989,318.236,0.0,,,0.0,0.0,,,,,,
mux,gpt-5.3-codex@openai,445,0.6854,0.6854,387.555,0.0,,,0.0,0.0,,,,,,
deepagent-harbor,gpt-5.2-codex@openai,433,0.6767,0.6767,584.768,0.0,,,0.963,26.3764,15.4214,14.5821,0.398,0.2038,0.0941,1.6334
mux,claude-opus-4-6@anthropic,445,0.6652,0.6652,509.744,0.0,,,0.0,0.0,,,,,,
claude-code-enhanced,claude-opus-4-6@anthropic,398,0.6608,0.6608,486.473,9.1695,2970626.4831,3886.3876,0.0,0.0,,,,,,
sage,gemini-3-pro-preview@Google,445,0.6517,0.6517,305.277,0.0,,,0.0,0.0,,,,,,
Factory Droid,gpt-5.2@openai,444,0.6509,0.6509,691.2685,0.0,,,0.0,0.0,,,,,,
ante,gemini-3-pro-preview@Google,444,0.6486,0.6486,313.2225,0.0,,,0.0,0.0,,,,,,
terminus-2,gpt-5.3-codex@openai,445,0.6472,0.6472,572.262,0.0,201890.0562,26636.2944,0.0,0.0,,,,,,
Junie,gemini-3-flash-preview@gemini,445,0.6427,0.6427,293.832,0.0,,,0.0,0.0,,,,,,
Factory Droid,claude-opus-4-5-20251101@anthropic,445,0.6315,0.6315,463.386,0.0,,,0.0,0.0,,,,,,
codex,gpt-5.2@openai,445,0.6292,0.6292,762.309,0.0,,,0.0,0.0,,,,,,
terminus-2,claude-opus-4-6@anthropic,445,0.6292,0.6292,375.243,50.0315,296704.8247,14726.5775,1.0,31.3438,,,0.0762,0.1611,0.0447,1.9457
ruley,gemini-3-pro-preview@Google,445,0.6225,0.6225,435.377,0.0,,,0.0,0.0,,,,,,
ii-agent-simple,gemini-3-pro-preview@gemini,445,0.618,0.618,473.441,0.0,,,0.0,0.0,,,,,,
Factory Droid,gemini-3-pro-preview@google,445,0.6112,0.6112,309.477,0.0,,,0.0,0.0,,,,,,
mux,gpt-5.2@openai,89,0.6067,0.6067,536.285,0.0,,,0.0,0.0,,,,,,
codex,gpt-5.1-codex-max@openai,445,0.6045,0.6045,472.165,0.0,1823397.3232,19104.1934,0.0,0.0,,,,,,
letta-code,claude-opus-4-5@anthropic,445,0.591,0.591,362.085,0.0,,,0.0,0.0,,,,,,
mux,claude-opus-4-5@anthropic,89,0.5843,0.5843,364.328,0.0,,,0.0,0.0,,,,,,
claude-code,claude-opus-4-6@anthropic,445,0.5798,0.5798,269.514,0.0,,,0.9775,27.3348,17.5191,11.0437,0.5108,0.2375,0.0705,1.9049
codex,gpt-5.1-codex@openai,445,0.5775,0.5775,295.351,33.8875,1149744.422,17554.3683,0.0,0.0,,,,,,
