feature,n,raw_success_corr,task_centered_success_corr,feature_mean
command_intent_entropy,34029,0.1422,0.1984,1.8169
post_failure_intent_entropy,20191,0.0847,0.1415,1.7531
tool_category_entropy,34029,0.1489,0.135,0.5189
category_switch_rate,33488,0.0643,0.0621,0.1453
intent_switch_rate,33488,-0.0014,0.0367,0.5768
inspect_intent_calls,34462,-0.0566,-0.0117,3.0566
read_intent_calls,34462,-0.0522,-0.0125,5.2713
test_intent_calls,34462,-0.0065,-0.0154,0.1175
dependency_intent_calls,34462,-0.0428,-0.0292,1.9023
search_intent_calls,34462,-0.0661,-0.0303,1.6802
build_intent_calls,34462,-0.066,-0.0345,0.9882
repeated_tool_command_rate,34029,-0.0553,-0.0365,0.2686
input_tokens,30759,-0.0865,-0.0457,920968.6588
edit_intent_calls,34462,-0.0701,-0.0464,5.9233
run_intent_calls,34462,-0.0939,-0.0501,5.5229
cost_cents,34462,-0.094,-0.0531,60.9257
tool_call_count,34462,-0.11,-0.0589,41.5867
step_count,34462,-0.081,-0.0609,47.0685
post_failure_tool_calls,34462,-0.1162,-0.0644,25.0532
failed_tool_call_count,34462,-0.0788,-0.0647,3.6422
failure_rate,34029,-0.0823,-0.0908,0.0976
duration_seconds,34462,-0.1971,-0.0939,684.5243
