agent,model_a,model_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
terminus-2,gpt-5-nano@openai,openai/gpt-oss-20b@together_ai,436,932,0.0803,0.03,0.0503,112.1353,12.2275,99.9078,0.2013,0.1884,109.6503
terminus-2,gpt-5-nano@openai,grok-code-fast-1@xai,436,445,0.0803,0.1416,0.0613,112.1353,23.209,88.9263,0.0989,0.1906,96.1638
terminus-2,gpt-5-nano@openai,grok-4-0709@xai,436,436,0.0803,0.2362,0.1559,112.1353,26.6537,85.4816,0.0676,0.2473,93.3541
terminus-2,gpt-5-nano@openai,openai/gpt-oss-120b@together_ai,436,925,0.0803,0.1924,0.1121,112.1353,29.6605,82.4748,0.1099,0.1665,89.3848
terminus-2,gemini-3-pro-preview@gemini,gpt-5-nano@openai,445,436,0.5685,0.0803,0.4882,30.209,112.1353,81.9263,0.0174,0.2756,89.2513
terminus-2,claude-opus-4-6@anthropic,gpt-5-nano@openai,445,436,0.6292,0.0803,0.5489,31.3438,112.1353,80.7915,0.0008,0.31,88.5615
terminus-2,gpt-5-nano@openai,gpt-5.1-codex@openai,436,445,0.0803,0.3685,0.2882,112.1353,31.2067,80.9286,0.0144,0.2556,87.6786
terminus-2,gemini-2.5-pro@gemini,gpt-5-nano@openai,442,436,0.3281,0.0803,0.2478,30.6086,112.1353,81.5267,0.0361,0.1921,87.2317
terminus-2,gpt-5-nano@openai,minimax-m2.5@Minimax,436,445,0.0803,0.4225,0.3422,112.1353,33.8584,78.2769,0.0371,0.3162,87.1094
terminus-2,gpt-5-codex@openai,gpt-5-nano@openai,437,436,0.4416,0.0803,0.3613,31.7941,112.1353,80.3412,0.012,0.2587,87.1087
terminus-2,gemini-3-flash-preview@gemini,gpt-5-nano@openai,445,436,0.5169,0.0803,0.4366,34.7506,112.1353,77.3847,0.0449,0.2609,85.0297
terminus-2,glm-5@z-ai,gpt-5-nano@openai,442,436,0.5226,0.0803,0.4423,34.7489,112.1353,77.3864,0.0233,0.2592,84.4489
terminus-2,gpt-5-nano@openai,gpt-5.1@openai,436,445,0.0803,0.4764,0.3961,112.1353,38.0944,74.0409,0.0051,0.2558,80.5634
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,claude-opus-4-5-20251101@anthropic,878,445,0.2574,0.5191,0.2617,100.3622,37.9371,62.4251,0.256,0.3487,77.5426
terminus-2,gpt-5-nano@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,436,923,0.0803,0.2795,0.1992,112.1353,42.5255,69.6098,0.0193,0.2613,76.6248
terminus-2,claude-opus-4-1-20250805@anthropic,gpt-5-nano@openai,443,436,0.3815,0.0803,0.3012,43.921,112.1353,68.2143,0.0245,0.2639,75.4243
terminus-2,claude-opus-4-5-20251101@anthropic,gpt-5-nano@openai,445,436,0.5775,0.0803,0.4972,44.5978,112.1353,67.5375,0.0054,0.28,74.6725
terminus-2,claude-sonnet-4-5-20250929@anthropic,gpt-5-nano@openai,440,436,0.4318,0.0803,0.3515,45.2409,112.1353,66.8944,0.029,0.2799,74.6169
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5-nano@openai,929,436,0.2411,0.0803,0.1608,44.9709,112.1353,67.1644,0.0276,0.2432,73.9344
openhands,claude-opus-4-5-20251101@anthropic,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.5191,0.272,0.2471,37.9371,96.3886,58.4515,0.2188,0.3586,72.8865
terminus-2,claude-haiku-4-5-20251001@anthropic,gpt-5-nano@openai,439,436,0.2847,0.0803,0.2044,46.5353,112.1353,65.6,0.011,0.254,72.225
terminus-2,gpt-5-nano@openai,gpt-5.2@openai,436,444,0.0803,0.5405,0.4602,112.1353,47.5766,64.5587,0.0059,0.2837,71.7987
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gpt-5-nano@openai,902,436,0.306,0.0803,0.2257,47.1419,112.1353,64.9934,0.0272,0.2395,71.6609
terminus-2,gpt-5-nano@openai,gpt-5@openai,436,438,0.0803,0.3562,0.2759,112.1353,46.3562,65.7791,0.0083,0.2203,71.4941
openhands,claude-opus-4-5-20251101@anthropic,claude-sonnet-4-5-20250929@anthropic,445,443,0.5191,0.4244,0.0947,37.9371,94.1287,56.1916,0.2224,0.318,69.7016
terminus-2,gpt-5-nano@openai,minimax-m2.1@openai,436,438,0.0803,0.2968,0.2165,112.1353,51.0685,61.0668,0.0186,0.2586,67.9968
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5@openai,878,445,0.2574,0.4382,0.1808,100.3622,35.1079,65.2543,0.0039,0.0863,67.5093
terminus-2,gemini-2.5-flash@gemini,openai/gpt-oss-20b@together_ai,439,932,0.1708,0.03,0.1408,73.8223,12.2275,61.5948,0.1781,0.0417,67.0898
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,claude-haiku-4-5-20251001@anthropic,878,444,0.2574,0.1396,0.1178,100.3622,42.759,57.6032,0.1026,0.2413,66.2007
openhands,gpt-5@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.4382,0.272,0.1662,35.1079,96.3886,61.2807,0.0411,0.0962,64.7132
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,grok-4-0709@xai,878,444,0.2574,0.2725,0.0151,100.3622,38.1486,62.2136,0.0075,0.0615,63.9386
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5-mini@openai,878,445,0.2574,0.2921,0.0347,100.3622,41.5213,58.8409,0.0415,0.1422,63.4334
openhands,claude-haiku-4-5-20251001@anthropic,moonshotai/Kimi-K2-Instruct-0905@together_ai,444,875,0.1396,0.272,0.1324,42.759,96.3886,53.6296,0.1398,0.2512,63.4046
openhands,claude-sonnet-4-5-20250929@anthropic,gpt-5@openai,443,445,0.4244,0.4382,0.0138,94.1287,35.1079,59.0208,0.0375,0.0556,61.3483
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5-nano@openai,904,436,0.2478,0.0803,0.1675,57.5243,112.1353,54.611,0.0248,0.2381,61.1835
openhands,grok-4-0709@xai,moonshotai/Kimi-K2-Instruct-0905@together_ai,444,875,0.2725,0.272,0.0005,38.1486,96.3886,58.24,0.0297,0.0714,60.7675
openhands,gpt-5-mini@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.2921,0.272,0.0201,41.5213,96.3886,54.8673,0.0787,0.1521,60.6373
terminus-2,deepseek-v3.2@deepseek,gpt-5-nano@openai,445,436,0.3955,0.0803,0.3152,60.4247,112.1353,51.7106,0.055,0.3017,60.6281
openhands,claude-haiku-4-5-20251001@anthropic,claude-sonnet-4-5-20250929@anthropic,444,443,0.1396,0.4244,0.2848,42.759,94.1287,51.3697,0.1362,0.2106,60.0397
terminus-2,gpt-5-nano@openai,moonshotai/Kimi-K2-Thinking@together_ai,436,892,0.0803,0.3587,0.2784,112.1353,60.7377,51.3976,0.0405,0.2556,58.8001
terminus-2,deepseek-v3.2@deepseek,openai/gpt-oss-20b@together_ai,445,932,0.3955,0.03,0.3655,60.4247,12.2275,48.1972,0.2563,0.1133,57.4372
openhands,claude-sonnet-4-5-20250929@anthropic,grok-4-0709@xai,443,444,0.4244,0.2725,0.1519,94.1287,38.1486,55.9801,0.0261,0.0308,57.4026
openhands,claude-sonnet-4-5-20250929@anthropic,gpt-5-mini@openai,443,445,0.4244,0.2921,0.1323,94.1287,41.5213,52.6074,0.0751,0.1115,57.2724
terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,openai/gpt-oss-20b@together_ai,892,932,0.3587,0.03,0.3287,60.7377,12.2275,48.5102,0.2418,0.0672,56.2352
terminus-2,gpt-5-mini@openai,gpt-5-nano@openai,438,436,0.2443,0.0803,0.164,62.9155,112.1353,49.2198,0.0604,0.2004,55.7398
openhands,claude-opus-4-1-20250805@anthropic,claude-opus-4-5-20251101@anthropic,445,445,0.3685,0.5191,0.1506,79.2652,37.9371,41.3281,0.2069,0.3368,54.9206
openhands,claude-opus-4-5-20251101@anthropic,gemini-2.5-flash@gemini,445,445,0.5191,0.164,0.3551,37.9371,78.7034,40.7663,0.2413,0.3099,54.5463
terminus-2,gpt-5-mini@openai,openai/gpt-oss-20b@together_ai,438,932,0.2443,0.03,0.2143,62.9155,12.2275,50.688,0.1409,0.012,54.5105
terminus-2,gemini-2.5-flash@gemini,grok-code-fast-1@xai,439,445,0.1708,0.1416,0.0292,73.8223,23.209,50.6133,0.0757,0.0439,53.6033
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,openai/gpt-oss-20b@together_ai,904,932,0.2478,0.03,0.2178,57.5243,12.2275,45.2968,0.2261,0.0497,52.1918
terminus-2,gemini-2.5-flash@gemini,grok-4-0709@xai,439,436,0.1708,0.2362,0.0654,73.8223,26.6537,47.1686,0.0444,0.1006,50.7936
openhands,claude-opus-4-1-20250805@anthropic,gpt-5@openai,445,445,0.3685,0.4382,0.0697,79.2652,35.1079,44.1573,0.053,0.0744,47.3423
terminus-2,claude-opus-4-6@anthropic,gemini-2.5-flash@gemini,445,439,0.6292,0.1708,0.4584,31.3438,73.8223,42.4785,0.024,0.1633,47.161
terminus-2,gemini-2.5-flash@gemini,gemini-3-pro-preview@gemini,439,445,0.1708,0.5685,0.3977,73.8223,30.209,43.6133,0.0058,0.1289,46.9808
terminus-2,gemini-2.5-flash@gemini,openai/gpt-oss-120b@together_ai,439,925,0.1708,0.1924,0.0216,73.8223,29.6605,44.1618,0.0867,0.0198,46.8243
terminus-2,gemini-2.5-flash@gemini,gpt-5.1-codex@openai,439,445,0.1708,0.3685,0.1977,73.8223,31.2067,42.6156,0.0376,0.1089,46.2781
terminus-2,minimax-m2.1@openai,openai/gpt-oss-20b@together_ai,438,932,0.2968,0.03,0.2668,51.0685,12.2275,38.841,0.2199,0.0702,46.0935
openhands,claude-haiku-4-5-20251001@anthropic,claude-opus-4-1-20250805@anthropic,444,445,0.1396,0.3685,0.2289,42.759,79.2652,36.5062,0.1517,0.2294,46.0337
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5-nano@openai,878,444,0.2574,0.0991,0.1583,100.3622,60.4414,39.9208,0.0686,0.1692,45.8658
terminus-2,gemini-2.5-flash@gemini,minimax-m2.5@Minimax,439,445,0.1708,0.4225,0.2517,73.8223,33.8584,39.9639,0.0603,0.1695,45.7089
terminus-2,gemini-2.5-flash@gemini,gpt-5-codex@openai,439,437,0.1708,0.4416,0.2708,73.8223,31.7941,42.0282,0.0352,0.112,45.7082
openhands,gemini-2.5-flash@gemini,gpt-5@openai,445,445,0.164,0.4382,0.2742,78.7034,35.1079,43.5955,0.0186,0.0475,45.248
terminus-2,gemini-2.5-flash@gemini,gemini-2.5-pro@gemini,439,442,0.1708,0.3281,0.1573,73.8223,30.6086,43.2137,0.0129,0.0454,44.6712
openhands,claude-opus-4-5-20251101@anthropic,gemini-2.5-pro@gemini,445,445,0.5191,0.164,0.3551,37.9371,67.4315,29.4944,0.2582,0.3259,44.0969
openhands,claude-haiku-4-5-20251001@anthropic,gemini-2.5-flash@gemini,444,445,0.1396,0.164,0.0244,42.759,78.7034,35.9444,0.1173,0.2025,43.9394
terminus-2,deepseek-v3.2@deepseek,grok-code-fast-1@xai,445,445,0.3955,0.1416,0.2539,60.4247,23.209,37.2157,0.1539,0.1111,43.8407
openhands,claude-opus-4-1-20250805@anthropic,grok-4-0709@xai,445,444,0.3685,0.2725,0.096,79.2652,38.1486,41.1166,0.0416,0.0496,43.3966
openhands,claude-opus-4-1-20250805@anthropic,gpt-5-mini@openai,445,445,0.3685,0.2921,0.0764,79.2652,41.5213,37.7439,0.0906,0.1303,43.2664
openhands,gpt-5-nano@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,444,875,0.0991,0.272,0.1729,60.4414,96.3886,35.9472,0.1058,0.1791,43.0697
terminus-2,gemini-2.5-flash@gemini,glm-5@z-ai,439,442,0.1708,0.5226,0.3518,73.8223,34.7489,39.0734,0.0465,0.1125,43.0484
terminus-2,gpt-5.2@openai,openai/gpt-oss-20b@together_ai,444,932,0.5405,0.03,0.5105,47.5766,12.2275,35.3491,0.2072,0.0953,42.9116
terminus-2,grok-code-fast-1@xai,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.1416,0.3587,0.2171,23.209,60.7377,37.5287,0.1394,0.065,42.6387
terminus-2,gemini-2.5-flash@gemini,gpt-5-nano@openai,439,436,0.1708,0.0803,0.0905,73.8223,112.1353,38.313,0.0232,0.1467,42.5605
terminus-2,gemini-2.5-flash@gemini,gemini-3-flash-preview@gemini,439,445,0.1708,0.5169,0.3461,73.8223,34.7506,39.0717,0.0217,0.1142,42.4692
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,openai/gpt-oss-20b@together_ai,902,932,0.306,0.03,0.276,47.1419,12.2275,34.9144,0.2285,0.0511,41.9044
openhands,gemini-2.5-flash@gemini,grok-4-0709@xai,445,444,0.164,0.2725,0.1085,78.7034,38.1486,40.5548,0.0072,0.0227,41.3023
terminus-2,claude-haiku-4-5-20251001@anthropic,openai/gpt-oss-20b@together_ai,439,932,0.2847,0.03,0.2547,46.5353,12.2275,34.3078,0.2123,0.0656,41.2553
openhands,gemini-2.5-flash@gemini,gpt-5-mini@openai,445,445,0.164,0.2921,0.1281,78.7034,41.5213,37.1821,0.0562,0.1034,41.1721
terminus-2,claude-sonnet-4-5-20250929@anthropic,openai/gpt-oss-20b@together_ai,440,932,0.4318,0.03,0.4018,45.2409,12.2275,33.0134,0.2303,0.0915,41.0584
terminus-2,gpt-5-mini@openai,grok-code-fast-1@xai,438,445,0.2443,0.1416,0.1027,62.9155,23.209,39.7065,0.0385,0.0098,40.914
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openai/gpt-oss-20b@together_ai,929,932,0.2411,0.03,0.2111,44.9709,12.2275,32.7434,0.2289,0.0548,39.8359
terminus-2,gpt-5@openai,openai/gpt-oss-20b@together_ai,438,932,0.3562,0.03,0.3262,46.3562,12.2275,34.1287,0.193,0.0319,39.7512
openhands,claude-sonnet-4-5-20250929@anthropic,gpt-5-nano@openai,443,444,0.4244,0.0991,0.3253,94.1287,60.4414,33.6873,0.1022,0.1385,39.7048
terminus-2,claude-opus-4-5-20251101@anthropic,openai/gpt-oss-20b@together_ai,445,932,0.5775,0.03,0.5475,44.5978,12.2275,32.3703,0.1959,0.0916,39.5578
terminus-2,claude-opus-4-1-20250805@anthropic,openai/gpt-oss-20b@together_ai,443,932,0.3815,0.03,0.3515,43.921,12.2275,31.6935,0.2258,0.0755,39.226
terminus-2,gemini-2.5-flash@gemini,gpt-5.1@openai,439,445,0.1708,0.4764,0.3056,73.8223,38.0944,35.7279,0.0181,0.1091,38.9079
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,grok-code-fast-1@xai,904,445,0.2478,0.1416,0.1062,57.5243,23.209,34.3153,0.1237,0.0475,38.5953
terminus-2,deepseek-v3.2@deepseek,openai/gpt-oss-120b@together_ai,445,925,0.3955,0.1924,0.2031,60.4247,29.6605,30.7642,0.1649,0.1352,38.2667
terminus-2,deepseek-v3.2@deepseek,grok-4-0709@xai,445,436,0.3955,0.2362,0.1593,60.4247,26.6537,33.771,0.1226,0.0544,38.196
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,openai/gpt-oss-20b@together_ai,923,932,0.2795,0.03,0.2495,42.5255,12.2275,30.298,0.2206,0.0729,37.6355
terminus-2,gpt-5-mini@openai,grok-4-0709@xai,438,436,0.2443,0.2362,0.0081,62.9155,26.6537,36.2618,0.0072,0.0469,37.6143
mini-swe-agent,gemini-2.5-flash@gemini,openai/gpt-oss-20b@together_ai,445,888,0.1708,0.0338,0.137,40.6831,5.0676,35.6155,0.0,0.0646,37.2305
terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,openai/gpt-oss-120b@together_ai,892,925,0.3587,0.1924,0.1663,60.7377,29.6605,31.0772,0.1504,0.0891,37.0647
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,openai/gpt-oss-20b@together_ai,442,888,0.4253,0.0338,0.3915,41.1968,5.0676,36.1292,0.0,0.0368,37.0492
terminus-2,grok-4-0709@xai,moonshotai/Kimi-K2-Thinking@together_ai,436,892,0.2362,0.3587,0.1225,26.6537,60.7377,34.084,0.1081,0.0083,36.994
mini-swe-agent,gemini-2.5-flash@gemini,gpt-5@openai,445,445,0.1708,0.3393,0.1685,40.6831,8.8045,31.8786,0.0,0.1638,35.9736
mini-swe-agent,gemini-2.5-flash@gemini,gpt-5-nano@openai,445,445,0.1708,0.0697,0.1011,40.6831,7.9034,32.7797,0.0,0.1263,35.9372
terminus-2,claude-opus-4-6@anthropic,gpt-5-mini@openai,445,438,0.6292,0.2443,0.3849,31.3438,62.9155,31.5717,0.0612,0.1096,35.8417
terminus-2,gemini-3-pro-preview@gemini,gpt-5-mini@openai,445,438,0.5685,0.2443,0.3242,30.209,62.9155,32.7065,0.043,0.0752,35.6615
terminus-2,gpt-5-mini@openai,openai/gpt-oss-120b@together_ai,438,925,0.2443,0.1924,0.0519,62.9155,29.6605,33.255,0.0495,0.0339,35.34
terminus-2,gemini-2.5-flash@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,439,923,0.1708,0.2795,0.1087,73.8223,42.5255,31.2968,0.0425,0.1146,35.2243
openhands,claude-opus-4-5-20251101@anthropic,gpt-5-nano@openai,445,444,0.5191,0.0991,0.42,37.9371,60.4414,22.5043,0.3246,0.1795,35.1068
terminus-2,gpt-5-mini@openai,gpt-5.1-codex@openai,438,445,0.2443,0.3685,0.1242,62.9155,31.2067,31.7088,0.0748,0.0552,34.9588
terminus-2,deepseek-v3.2@deepseek,gemini-2.5-pro@gemini,445,442,0.3955,0.3281,0.0674,60.4247,30.6086,29.8161,0.0911,0.1096,34.8336
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,openai/gpt-oss-20b@together_ai,444,888,0.2973,0.0338,0.2635,38.3671,5.0676,33.2995,0.0,0.0566,34.7145
terminus-2,gpt-5-mini@openai,minimax-m2.5@Minimax,438,445,0.2443,0.4225,0.1782,62.9155,33.8584,29.0571,0.0975,0.1158,34.3896
terminus-2,gpt-5-codex@openai,gpt-5-mini@openai,437,438,0.4416,0.2443,0.1973,31.7941,62.9155,31.1214,0.0724,0.0583,34.3889
mini-swe-agent,gemini-2.5-flash@gemini,gpt-5-mini@openai,445,445,0.1708,0.2225,0.0517,40.6831,10.3034,30.3797,0.0,0.1491,34.1072
terminus-2,claude-opus-4-1-20250805@anthropic,gemini-2.5-flash@gemini,443,439,0.3815,0.1708,0.2107,43.921,73.8223,29.9013,0.0477,0.1172,34.0238
openhands,gemini-2.5-pro@gemini,gpt-5@openai,445,445,0.164,0.4382,0.2742,67.4315,35.1079,32.3236,0.0017,0.0635,33.9536
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,gpt-5@openai,442,445,0.4253,0.3393,0.086,41.1968,8.8045,32.3923,0.0,0.0624,33.9523
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,gpt-5-nano@openai,442,445,0.4253,0.0697,0.3556,41.1968,7.9034,33.2934,0.0,0.0249,33.9159
terminus-2,gemini-2.5-pro@gemini,moonshotai/Kimi-K2-Thinking@together_ai,442,892,0.3281,0.3587,0.0306,30.6086,60.7377,30.1291,0.0766,0.0635,33.6316
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-2.5-pro@gemini,878,445,0.2574,0.164,0.0934,100.3622,67.4315,32.9307,0.0022,0.0228,33.5557
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,grok-4-0709@xai,904,436,0.2478,0.2362,0.0116,57.5243,26.6537,30.8706,0.0924,0.0092,33.4106
terminus-2,claude-sonnet-4-5-20250929@anthropic,gemini-2.5-flash@gemini,440,439,0.4318,0.1708,0.261,45.2409,73.8223,28.5814,0.0522,0.1332,33.2164
terminus-2,gemini-2.5-pro@gemini,gpt-5-mini@openai,442,438,0.3281,0.2443,0.0838,30.6086,62.9155,32.3069,0.0243,0.0083,33.1219
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,openai/gpt-oss-120b@together_ai,904,925,0.2478,0.1924,0.0554,57.5243,29.6605,27.8638,0.1347,0.0716,33.0213
terminus-2,claude-opus-4-5-20251101@anthropic,gemini-2.5-flash@gemini,445,439,0.5775,0.1708,0.4067,44.5978,73.8223,29.2245,0.0178,0.1333,33.002
terminus-2,deepseek-v3.2@deepseek,gemini-3-pro-preview@gemini,445,445,0.3955,0.5685,0.173,60.4247,30.209,30.2157,0.0724,0.0261,32.6782
openhands,claude-haiku-4-5-20251001@anthropic,gemini-2.5-pro@gemini,444,445,0.1396,0.164,0.0244,42.759,67.4315,24.6725,0.1004,0.2185,32.645
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-2.5-flash@gemini,929,439,0.2411,0.1708,0.0703,44.9709,73.8223,28.8514,0.0508,0.0965,32.5339
terminus-2,grok-code-fast-1@xai,minimax-m2.1@openai,445,438,0.1416,0.2968,0.1552,23.209,51.0685,27.8595,0.1175,0.068,32.497
terminus-2,gemini-3-pro-preview@gemini,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.5685,0.3587,0.2098,30.209,60.7377,30.5287,0.0579,0.02,32.4762
terminus-2,gpt-5.1@openai,openai/gpt-oss-20b@together_ai,445,932,0.4764,0.03,0.4464,38.0944,12.2275,25.8669,0.1962,0.0674,32.4569
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,gpt-5-mini@openai,442,445,0.4253,0.2225,0.2028,41.1968,10.3034,30.8934,0.0,0.0477,32.0859
terminus-2,claude-opus-4-6@anthropic,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.6292,0.3587,0.2705,31.3438,60.7377,29.3939,0.0397,0.0544,31.7464
terminus-2,glm-5@z-ai,gpt-5-mini@openai,442,438,0.5226,0.2443,0.2783,34.7489,62.9155,28.1666,0.0837,0.0588,31.7291
mini-swe-agent,gemini-2.5-flash@gemini,openai/gpt-oss-120b@together_ai,445,887,0.1708,0.1421,0.0287,40.6831,11.5806,29.1025,0.0,0.1043,31.71
terminus-2,deepseek-v3.2@deepseek,gpt-5.1-codex@openai,445,445,0.3955,0.3685,0.027,60.4247,31.2067,29.218,0.0406,0.0461,31.3855
terminus-2,claude-haiku-4-5-20251001@anthropic,gemini-2.5-flash@gemini,439,439,0.2847,0.1708,0.1139,46.5353,73.8223,27.287,0.0342,0.1073,30.8245
terminus-2,minimax-m2.5@Minimax,openai/gpt-oss-20b@together_ai,445,932,0.4225,0.03,0.3925,33.8584,12.2275,21.6309,0.2384,0.1278,30.7859
terminus-2,deepseek-v3.2@deepseek,gpt-5-codex@openai,445,437,0.3955,0.4416,0.0461,60.4247,31.7941,28.6306,0.043,0.043,30.7806
openhands,gemini-2.5-pro@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.164,0.272,0.108,67.4315,96.3886,28.9571,0.0394,0.0327,30.7596
terminus-2,claude-opus-4-6@anthropic,deepseek-v3.2@deepseek,445,445,0.6292,0.3955,0.2337,31.3438,60.4247,29.0809,0.0542,0.0083,30.6434
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,gpt-5@openai,444,445,0.2973,0.3393,0.042,38.3671,8.8045,29.5626,0.0,0.0426,30.6276
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,gpt-5-nano@openai,444,445,0.2973,0.0697,0.2276,38.3671,7.9034,30.4637,0.0,0.0051,30.5912
openhands,gemini-2.5-pro@gemini,grok-4-0709@xai,445,444,0.164,0.2725,0.1085,67.4315,38.1486,29.2829,0.0097,0.0387,30.4929
terminus-2,gemini-2.5-flash@gemini,gpt-5.2@openai,439,444,0.1708,0.5405,0.3697,73.8223,47.5766,26.2457,0.0291,0.137,30.3982
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gemini-2.5-flash@gemini,902,439,0.306,0.1708,0.1352,47.1419,73.8223,26.6804,0.0504,0.0928,30.2604
terminus-2,gpt-5.1-codex@openai,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.3685,0.3587,0.0098,31.2067,60.7377,29.531,0.0261,0.0,30.1835
terminus-2,gemini-3-flash-preview@gemini,gpt-5-mini@openai,445,438,0.5169,0.2443,0.2726,34.7506,62.9155,28.1649,0.0155,0.0605,30.0649
terminus-2,glm-5@z-ai,openai/gpt-oss-20b@together_ai,442,932,0.5226,0.03,0.4926,34.7489,12.2275,22.5214,0.2246,0.0708,29.9064
openhands,gemini-2.5-pro@gemini,gpt-5-mini@openai,445,445,0.164,0.2921,0.1281,67.4315,41.5213,25.9102,0.0393,0.1194,29.8777
