model,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
gpt-5-nano@openai,mini-swe-agent,terminus-2,445,436,0.0697,0.0803,0.0106,7.9034,112.1353,104.2319,0.077,0.4309,116.9294
gpt-5-nano@openai,codex,terminus-2,440,436,0.1159,0.0803,0.0356,7.45,112.1353,104.6853,0.0016,0.4324,115.5353
gemini-2.5-flash@gemini,gemini-cli,openhands,439,445,0.1549,0.164,0.0091,12.9681,78.7034,65.7353,0.3175,0.3864,83.3328
claude-sonnet-4-5-20250929@anthropic,claude-code,openhands,437,443,0.3959,0.4244,0.0285,30.9908,94.1287,63.1379,0.3097,0.3544,79.7404
claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,openhands,442,443,0.4253,0.4244,0.0009,41.1968,94.1287,52.9319,0.2408,0.5863,73.6094
gemini-2.5-flash@gemini,gemini-cli,terminus-2,439,439,0.1549,0.1708,0.0159,12.9681,73.8223,60.8542,0.4392,0.0675,73.5217
claude-opus-4-1-20250805@anthropic,mini-swe-agent,openhands,444,445,0.3514,0.3685,0.0171,29.4212,79.2652,49.844,0.2563,0.6054,71.3865
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,terminus-2,878,929,0.2574,0.2411,0.0163,100.3622,44.9709,55.3913,0.1578,0.4542,70.6913
moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,terminus-2,875,923,0.272,0.2795,0.0075,96.3886,42.5255,53.8631,0.1867,0.4822,70.5856
gemini-2.5-pro@gemini,gemini-cli,openhands,437,445,0.1968,0.164,0.0328,16.3867,67.4315,51.0448,0.3554,0.3982,69.8848
gpt-5-nano@openai,mini-swe-agent,openhands,445,444,0.0697,0.0991,0.0294,7.9034,60.4414,52.538,0.1386,0.4727,67.8205
gpt-5-nano@openai,codex,openhands,440,444,0.1159,0.0991,0.0168,7.45,60.4414,52.9914,0.06,0.4742,66.3464
claude-sonnet-4-5-20250929@anthropic,openhands,terminus-2,443,440,0.4244,0.4318,0.0074,94.1287,45.2409,48.8878,0.1928,0.4602,65.2128
claude-opus-4-1-20250805@anthropic,claude-code,openhands,437,445,0.3478,0.3685,0.0207,31.4897,79.2652,47.7755,0.3291,0.3279,64.2005
gpt-5-mini@openai,mini-swe-agent,terminus-2,445,438,0.2225,0.2443,0.0218,10.3034,62.9155,52.6121,0.1374,0.2533,62.3796
gemini-2.5-pro@gemini,mini-swe-agent,openhands,444,445,0.2613,0.164,0.0973,26.2027,67.4315,41.2288,0.205,0.5345,59.7163
gemini-2.5-flash@gemini,mini-swe-agent,openhands,445,445,0.1708,0.164,0.0068,40.6831,78.7034,38.0203,0.2219,0.4768,55.4878
gpt-5-nano@openai,openhands,terminus-2,444,436,0.0991,0.0803,0.0188,60.4414,112.1353,51.6939,0.0616,0.0418,54.2789
gpt-5-mini@openai,codex,terminus-2,437,438,0.3158,0.2443,0.0715,14.5561,62.9155,48.3594,0.0264,0.1828,53.5894
claude-opus-4-1-20250805@anthropic,openhands,terminus-2,445,443,0.3685,0.3815,0.013,79.2652,43.921,35.3442,0.2038,0.463,52.0142
gemini-2.5-pro@gemini,openhands,terminus-2,445,442,0.164,0.3281,0.1641,67.4315,30.6086,36.8229,0.0919,0.3803,48.6279
gpt-5-mini@openai,mini-swe-agent,openhands,445,445,0.2225,0.2921,0.0696,10.3034,41.5213,31.2179,0.1657,0.5225,48.4229
gpt-5@openai,mini-swe-agent,openhands,445,445,0.3393,0.4382,0.0989,8.8045,35.1079,26.3034,0.2033,0.5931,46.2134
gpt-5@openai,mini-swe-agent,terminus-2,445,438,0.3393,0.3562,0.0169,8.8045,46.3562,37.5517,0.0853,0.2481,45.8867
gemini-2.5-flash@gemini,gemini-cli,mini-swe-agent,439,445,0.1549,0.1708,0.0159,12.9681,40.6831,27.715,0.5394,0.0904,43.46
gemini-2.5-flash@gemini,mini-swe-agent,terminus-2,445,439,0.1708,0.1708,0.0,40.6831,73.8223,33.1392,0.1002,0.1579,39.5917
gpt-5-mini@openai,codex,openhands,437,445,0.3158,0.2921,0.0237,14.5561,41.5213,26.9652,0.0019,0.452,38.3127
gpt-5@openai,codex,terminus-2,439,438,0.4943,0.3562,0.1381,15.7472,46.3562,30.609,0.0806,0.1529,36.4465
grok-4-0709@xai,mini-swe-agent,openhands,445,444,0.2539,0.2725,0.0186,21.9933,38.1486,16.1553,0.2147,0.5344,34.8828
gpt-5@openai,codex,openhands,439,445,0.4943,0.4382,0.0561,15.7472,35.1079,19.3607,0.0374,0.4979,32.7432
claude-sonnet-4-5-20250929@anthropic,claude-code,mini-swe-agent,437,442,0.3959,0.4253,0.0294,30.9908,41.1968,10.206,0.5505,0.2319,29.766
claude-sonnet-4-5-20250929@anthropic,claude-code,terminus-2,437,440,0.3959,0.4318,0.0359,30.9908,45.2409,14.2501,0.5025,0.1058,29.4576
claude-opus-4-1-20250805@anthropic,claude-code,terminus-2,437,443,0.3478,0.3815,0.0337,31.4897,43.921,12.4313,0.5329,0.1351,29.1313
gpt-5-mini@openai,openhands,terminus-2,445,438,0.2921,0.2443,0.0478,41.5213,62.9155,21.3942,0.0283,0.2692,28.8317
openai/gpt-oss-120b@together_ai,mini-swe-agent,terminus-2,887,925,0.1421,0.1924,0.0503,11.5806,29.6605,18.0799,0.1869,0.2424,28.8124
gemini-2.5-pro@gemini,gemini-cli,mini-swe-agent,437,444,0.1968,0.2613,0.0645,16.3867,26.2027,9.816,0.5604,0.1363,27.2335
gpt-5-codex@openai,codex,terminus-2,436,437,0.4427,0.4416,0.0011,10.8394,31.7941,20.9547,0.1336,0.0962,26.6997
gemini-2.5-pro@gemini,gemini-cli,terminus-2,437,442,0.1968,0.3281,0.1313,16.3867,30.6086,14.2219,0.4473,0.0179,25.8519
claude-haiku-4-5-20251001@anthropic,claude-code,terminus-2,438,439,0.2763,0.2847,0.0084,33.0982,46.5353,13.4371,0.4357,0.0507,25.5971
claude-haiku-4-5-20251001@anthropic,claude-code,openhands,438,444,0.2763,0.1396,0.1367,33.0982,42.759,9.6608,0.3971,0.173,23.9133
claude-opus-4-1-20250805@anthropic,claude-code,mini-swe-agent,437,444,0.3478,0.3514,0.0036,31.4897,29.4212,2.0685,0.5854,0.2775,23.641
claude-haiku-4-5-20251001@anthropic,claude-code,mini-swe-agent,438,444,0.2763,0.2973,0.021,33.0982,38.3671,5.2689,0.5017,0.2225,23.3739
grok-4-0709@xai,openhands,terminus-2,444,436,0.2725,0.2362,0.0363,38.1486,26.6537,11.4949,0.0701,0.3968,23.1674
gpt-5@openai,openhands,terminus-2,445,438,0.4382,0.3562,0.082,35.1079,46.3562,11.2483,0.118,0.345,22.8233
claude-opus-4-5-20251101@anthropic,openhands,terminus-2,445,445,0.5191,0.5775,0.0584,37.9371,44.5978,6.6607,0.3808,0.1423,19.7382
claude-opus-4-1-20250805@anthropic,mini-swe-agent,terminus-2,444,443,0.3514,0.3815,0.0301,29.4212,43.921,14.4998,0.0525,0.1424,19.3723
claude-opus-4-5-20251101@anthropic,claude-code,terminus-2,445,445,0.5213,0.5775,0.0562,36.8809,44.5978,7.7169,0.4065,0.0347,18.7469
openai/gpt-oss-20b@together_ai,mini-swe-agent,terminus-2,888,932,0.0338,0.03,0.0038,5.0676,12.2275,7.1599,0.2783,0.1808,18.6374
gpt-5-codex@openai,codex,mini-swe-agent,436,444,0.4427,0.4144,0.0283,10.8394,22.3559,11.5165,0.1986,0.0529,17.804
