task_name,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,intent_entropy_gap,process_gap_score
schemelike-metacircular-eval,gemini-cli,openhands,20,70,0.3,0.2,0.1,9.85,169.7,159.85,0.6099,0.3097,0.2649,184.1645
winning-avg-corewars,gemini-cli,terminus-2,20,195,0.25,0.2,0.05,22.3,157.0923,134.7923,0.7816,0.3051,0.0803,162.3613
make-doom-for-mips,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,9.6,158.5857,148.9857,0.1092,0.2527,0.2091,159.0787
make-doom-for-mips,codex,openhands,40,70,0.0,0.0,0.0,21.15,158.5857,137.4357,0.2078,0.6127,0.2133,159.0147
make-doom-for-mips,gemini-cli,openhands,20,70,0.0,0.0,0.0,19.0,158.5857,139.5857,0.3933,0.1982,0.0938,154.8422
train-fasttext,gemini-cli,terminus-3-3,20,10,0.0,0.1,0.1,2.75,130.3,127.55,0.2204,0.7938,0.1538,153.674
train-fasttext,codex,terminus-3-3,40,10,0.0,0.1,0.1,7.225,130.3,123.075,0.0812,0.7286,0.8341,147.4905
path-tracing,gemini-cli,openhands,20,70,0.15,0.0571,0.0929,2.6,109.9429,107.3429,0.6281,0.5645,0.9467,141.8914
tune-mjcf,mini-swe-agent,openhands,75,70,0.2533,0.1857,0.0676,34.5467,151.5429,116.9962,0.3341,0.5464,0.5008,141.5127
train-fasttext,claude-code,terminus-3-3,35,10,0.0,0.1,0.1,20.3714,130.3,109.9286,0.3759,0.5715,1.1947,139.5871
build-cython-ext,mini-swe-agent,openhands,75,70,0.08,0.0,0.08,27.6533,146.9429,119.2896,0.1744,0.5339,0.4553,139.2736
schemelike-metacircular-eval,mini-swe-agent,openhands,75,70,0.12,0.2,0.08,51.5067,169.7,118.1933,0.2182,0.5632,0.1302,138.3793
crack-7z-hash,gemini-cli,openhands,20,69,0.35,0.3913,0.0413,4.55,123.8696,119.3196,0.0571,0.556,0.6613,137.9536
make-doom-for-mips,judy,openhands,5,70,0.0,0.0,0.0,29.0,158.5857,129.5857,0.0193,0.0132,0.7429,134.1127
make-doom-for-mips,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,45.5467,158.5857,113.039,0.2099,0.5842,0.2266,134.0245
winning-avg-corewars,mini-swe-agent,openhands,75,70,0.1867,0.1,0.0867,58.2533,166.2143,107.961,0.305,0.5872,0.3301,131.9165
build-pov-ray,mini-swe-agent,openhands,75,70,0.3067,0.4,0.0933,42.5067,153.1857,110.679,0.1208,0.5268,0.358,128.659
path-tracing-reverse,codex,openhands,40,70,0.125,0.0571,0.0679,11.625,117.1571,105.5321,0.1872,0.589,0.7382,128.6281
large-scale-text-editing,gemini-cli,openhands,20,70,0.3,0.3714,0.0714,8.7,119.3857,110.6857,0.3093,0.227,0.8145,128.1657
path-tracing-reverse,gemini-cli,openhands,19,70,0.1053,0.0571,0.0482,5.7368,117.1571,111.4203,0.3174,0.1378,0.3867,124.7338
polyglot-rust-c,gemini-cli,openhands,20,69,0.1,0.0725,0.0275,0.95,87.1884,86.2384,0.6373,0.6066,1.3372,124.0219
train-fasttext,judy,terminus-3-3,5,10,0.0,0.1,0.1,15.4,130.3,114.9,0.1688,0.0187,0.5376,122.2755
make-mips-interpreter,codex,openhands,40,69,0.075,0.0,0.075,6.15,104.9855,98.8355,0.2111,0.6634,0.2711,122.0535
install-windows-3.11,codex,terminus-3-3,40,10,0.0,0.0,0.0,8.875,117.3,108.425,0.037,0.2853,0.4844,118.9045
regex-chess,gemini-cli,openhands,20,70,0.0,0.0143,0.0143,3.25,86.3143,83.0643,0.7145,0.4279,1.4136,118.6923
circuit-fibsqrt,mini-swe-agent,openhands,75,70,0.04,0.0429,0.0029,35.7067,129.2857,93.579,0.3009,0.5853,0.4997,118.2325
install-windows-3.11,gemini-cli,terminus-3-3,20,10,0.05,0.0,0.05,7.95,117.3,109.35,0.0291,0.2685,0.0422,117.001
polyglot-rust-c,codex,openhands,40,69,0.025,0.0725,0.0475,1.275,87.1884,85.9134,0.2116,0.6876,1.3889,115.3379
break-filter-js-from-html,gemini-cli,openhands,19,70,0.2105,0.1714,0.0391,4.0,95.3,91.3,0.5404,0.3045,0.428,114.5625
install-windows-3.11,mini-swe-agent,terminus-3-3,75,10,0.0,0.0,0.0,15.5067,117.3,101.7933,0.1968,0.2882,0.0595,114.2158
make-mips-interpreter,gemini-cli,openhands,20,69,0.05,0.0,0.05,10.65,104.9855,94.3355,0.5564,0.1305,0.311,113.063
mteb-leaderboard,gemini-cli,judy,20,5,0.1,0.2,0.1,6.45,100.4,93.95,0.0638,0.6835,0.0577,112.921
sam-cell-seg,gemini-cli,openhands,20,70,0.1,0.0,0.1,4.05,87.8857,83.8357,0.4679,0.5344,0.7425,112.6057
mteb-leaderboard,codex,judy,40,5,0.25,0.2,0.05,16.375,100.4,84.025,0.3792,0.7522,0.0032,112.326
path-tracing-reverse,mini-swe-agent,openhands,75,70,0.0,0.0571,0.0571,29.64,117.1571,87.5171,0.1893,0.5045,0.6422,108.0731
winning-avg-corewars,mini-swe-agent,terminus-2,75,195,0.1867,0.2,0.0133,58.2533,157.0923,98.839,0.0425,0.3069,0.0862,108.005
make-doom-for-mips,openhands,terminus-2,70,195,0.0,0.0,0.0,158.5857,68.8872,89.6985,0.1989,0.4617,0.3496,107.9615
regex-chess,codex,openhands,40,70,0.0,0.0143,0.0143,2.275,86.3143,84.0393,0.226,0.6218,0.3622,107.0453
rstan-to-pystan,codex,openhands,40,70,0.375,0.3286,0.0464,1.975,85.2429,83.2679,0.1987,0.6147,0.5889,106.5474
vulnerable-secret,gemini-cli,openhands,20,69,0.5,0.4203,0.0797,0.4,84.2609,83.8609,0.0742,0.5323,1.3518,105.7824
train-fasttext,mini-swe-agent,terminus-3-3,75,10,0.0,0.1,0.1,47.0933,130.3,83.2067,0.0035,0.7645,0.5843,105.3282
sam-cell-seg,codex,openhands,40,70,0.0,0.0,0.0,1.325,87.8857,86.5607,0.0197,0.5359,0.905,104.9757
make-doom-for-mips,openhands,terminus-3-3,70,10,0.0,0.0,0.0,158.5857,77.0,81.5857,0.2099,0.4536,0.6088,101.2172
make-mips-interpreter,mini-swe-agent,openhands,75,69,0.0133,0.0,0.0133,26.2667,104.9855,78.7188,0.2391,0.5589,0.2765,100.0513
qemu-alpine-ssh,codex,openhands,40,69,0.175,0.2029,0.0279,4.85,87.4783,82.6283,0.0159,0.529,0.7565,100.0333
schemelike-metacircular-eval,claude-code,openhands,35,70,0.1429,0.2,0.0571,86.8286,169.7,82.8714,0.2192,0.3647,0.4388,99.6629
rstan-to-pystan,gemini-cli,openhands,20,70,0.35,0.3286,0.0214,4.55,85.2429,80.6929,0.2874,0.3539,0.3889,98.6699
make-doom-for-mips,claude-code,openhands,35,70,0.0,0.0,0.0,79.4571,158.5857,79.1286,0.3494,0.342,0.3684,98.2556
make-mips-interpreter,gemini-cli,terminus-2,20,186,0.05,0.0215,0.0285,10.65,79.2527,68.6027,0.7672,0.3367,0.3794,98.0972
path-tracing,mini-swe-agent,openhands,75,70,0.0133,0.0571,0.0438,34.6133,109.9429,75.3296,0.1972,0.5062,0.709,96.4596
train-fasttext,gemini-cli,openhands,20,69,0.0,0.0,0.0,2.75,78.1014,75.3514,0.0222,0.5803,1.1496,96.1619
write-compressor,codex,openhands,40,70,0.075,0.0,0.075,4.175,78.3714,74.1964,0.2051,0.5776,0.4636,96.0819
cobol-modernization,mini-swe-agent,openhands,75,70,0.64,0.7,0.06,15.6133,92.7286,77.1153,0.1823,0.5305,0.0895,95.3828
winning-avg-corewars,claude-code,mini-swe-agent,35,75,0.1429,0.1867,0.0438,121.2,58.2533,62.9467,0.6985,0.5432,0.2689,95.3337
train-fasttext,gemini-cli,terminus-2,20,195,0.0,0.0462,0.0462,2.75,77.2513,74.5013,0.2049,0.5026,0.5754,95.0658
install-windows-3.11,codex,openhands,40,70,0.0,0.0,0.0,8.875,83.0571,74.1821,0.0322,0.505,0.9583,92.4036
make-mips-interpreter,judy,openhands,5,69,0.0,0.0,0.0,22.2,104.9855,82.7855,0.1118,0.0744,0.9466,92.1735
mailman,codex,terminus-2,40,191,0.425,0.4293,0.0043,8.05,95.1309,87.0809,0.0122,0.1763,0.038,91.9834
polyglot-rust-c,mini-swe-agent,openhands,75,69,0.0,0.0725,0.0725,21.48,87.1884,65.7084,0.3227,0.5779,0.4797,90.6219
regex-chess,judy,openhands,5,70,0.0,0.0143,0.0143,1.6,86.3143,84.7143,0.0478,0.0141,0.8155,90.3393
install-windows-3.11,gemini-cli,openhands,20,70,0.05,0.0,0.05,7.95,83.0571,75.1071,0.0339,0.4882,0.4317,90.3181
