task_name,agent,runs,success_rate,trace_coverage,mean_tool_call_count,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_repeated_tool_command_rate,mean_failure_rate,mean_post_failure_intent_entropy,mean_command_intent_entropy,mean_intent_switch_rate
adaptive-rejection-sampler,Factory Droid,25,0.48,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,Junie,5,0.4,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,TerminalBenchAgent,5,1.0,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,ante,5,0.2,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,aone-agent,5,0.0,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,claude-code,32,0.1875,0.75,27.4062,12.2083,4.2917,0.6418,0.4902,0.0885,2.136,2.2328,0.7617
adaptive-rejection-sampler,claude-code-enhanced,2,0.5,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,codex,37,0.3514,0.2703,1.8378,,,0.0208,0.0566,0.1586,1.943,1.3781,0.7915
adaptive-rejection-sampler,deepagent-harbor,5,0.4,1.0,0.0,,,,,,,,
adaptive-rejection-sampler,final,2,1.0,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,forge,5,1.0,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,gemini-cli,19,0.3158,0.3684,4.6316,3.4286,2.4286,0.6974,0.3192,0.3491,1.5961,1.7603,0.8227
adaptive-rejection-sampler,goose,15,0.0667,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,ii-agent-simple,5,0.8,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,judy,5,0.2,0.2,2.0,10.0,8.0,0.3333,0.7,0.0,,0.9219,0.3333
adaptive-rejection-sampler,letta-code,15,0.6,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,mini-swe-agent,75,0.2533,0.9733,13.12,,,0.0,0.089,0.1416,1.4656,1.4641,0.6692
adaptive-rejection-sampler,mux,12,0.4167,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,opencode,1,1.0,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,openhands,70,0.1857,1.0,42.2429,17.7708,7.7917,0.2383,0.6503,0.0762,1.6773,1.8834,0.368
adaptive-rejection-sampler,ruley,10,0.5,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,sage,5,0.8,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,simple_codex,5,0.8,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,spoox-m,5,0.4,0.0,0.0,,,,,,,,
adaptive-rejection-sampler,terminus-2,205,0.2634,0.9268,34.2098,,,0.0761,0.2386,0.0857,1.809,1.9839,0.7166
adaptive-rejection-sampler,terminus-3-3,10,0.5,0.9,22.1,,,0.1069,0.2208,0.0848,2.228,2.2593,0.7413
bn-fit-modify,Factory Droid,25,0.96,0.0,0.0,,,,,,,,
bn-fit-modify,Junie,5,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,TerminalBenchAgent,5,0.8,0.0,0.0,,,,,,,,
bn-fit-modify,ante,5,0.8,0.0,0.0,,,,,,,,
bn-fit-modify,aone-agent,5,0.0,0.0,0.0,,,,,,,,
bn-fit-modify,claude-code,32,0.5625,0.8438,19.0,15.9167,6.75,0.5559,0.2027,0.136,2.2528,2.3849,0.775
bn-fit-modify,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
