task_name,runs,success_rate,mean_reward,median_duration_seconds,trace_coverage,traced_runs,mean_tool_call_count,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_repeated_tool_command_rate
configure-git-webserver,599,0.5342,0.5342,221.789,0.6761,405,21.5793,21.5204,12.8061,0.1365,0.2282
constraints-scheduling,597,0.8911,0.8911,183.677,0.6817,407,8.2345,8.2913,2.7573,0.1903,0.2226
dna-assembly,595,0.0739,0.0739,653.037,0.6639,395,21.5647,16.125,7.3977,0.1394,0.2159
crack-7z-hash,594,0.5842,0.5842,555.148,0.6785,403,43.4209,49.5211,36.1549,0.0582,0.272
cancel-async-tasks,594,0.4242,0.4242,151.4925,0.6684,397,7.5522,6.0,1.211,0.2369,0.2153
count-dataset-tokens,594,0.404,0.404,291.645,0.6936,412,16.3081,20.1646,14.1519,0.187,0.2244
cobol-modernization,593,0.8212,0.8212,374.994,0.6695,397,35.5953,16.9083,9.0367,0.0782,0.3001
code-from-image,591,0.6667,0.6667,200.896,0.6836,404,19.7445,14.125,8.625,0.246,0.2057
build-pmars,591,0.6413,0.6413,259.511,0.6667,394,26.9289,21.1461,14.3933,0.1029,0.2415
distribution-search,591,0.6379,0.6379,395.823,0.6785,401,21.2453,8.2596,3.0096,0.2107,0.3037
chess-best-move,591,0.1472,0.1472,376.335,0.6717,397,17.0457,12.6835,6.5696,0.2197,0.1754
db-wal-recovery,591,0.0914,0.0914,480.134,0.6751,399,34.5804,23.7037,16.2037,0.0749,0.2029
dna-insert,591,0.0643,0.0643,416.07,0.6684,395,20.7242,10.7604,4.7812,0.1318,0.2257
custom-memory-heap-crash,590,0.7102,0.7102,399.1915,0.6644,392,29.0644,14.4906,7.4057,0.1144,0.3785
prove-plus-comm,588,0.8912,0.8912,119.2645,0.6599,388,9.3656,7.2636,2.0545,0.2368,0.3459
multi-source-data-merger,588,0.8844,0.8844,173.0695,0.6684,393,13.9643,13.3535,6.6667,0.1969,0.1996
headless-terminal,588,0.7398,0.7398,208.2105,0.6684,393,13.6939,8.7478,3.3043,0.2118,0.2253
sqlite-with-gcov,588,0.6616,0.6616,228.5585,0.665,391,15.5289,17.4516,10.6452,0.101,0.2307
kv-store-grpc,588,0.5782,0.5782,157.055,0.6769,398,13.7534,10.3274,5.0354,0.2147,0.2118
extract-elf,588,0.4337,0.4337,236.311,0.6582,387,15.7636,12.963,7.6667,0.1597,0.2008
llm-inference-batching-scheduler,588,0.4116,0.4116,640.24,0.6786,399,33.7483,12.1048,6.1714,0.1455,0.3018
largest-eigenval,588,0.3741,0.3741,486.543,0.6718,395,24.8656,9.0648,3.3333,0.1475,0.3808
sparql-university,588,0.3554,0.3554,198.0945,0.6684,393,10.449,6.1964,1.1429,0.2283,0.1863
break-filter-js-from-html,588,0.2721,0.2721,449.7665,0.6684,393,38.9031,7.2476,1.781,0.1438,0.3447
video-processing,588,0.0476,0.0476,301.588,0.6514,383,15.4099,13.6796,7.0777,0.2014,0.2839
make-doom-for-mips,588,0.0,0.0,959.2095,0.6633,390,55.9864,20.2653,11.898,0.1015,0.2971
qemu-startup,587,0.5963,0.5963,427.343,0.6167,362,19.5417,15.5,8.6429,0.124,0.2426
bn-fit-modify,587,0.506,0.506,406.169,0.6712,394,24.7956,15.2099,8.9136,0.1374,0.2301
winning-avg-corewars,587,0.2998,0.2998,957.2,0.6593,387,89.6116,9.8545,4.3,0.1553,0.5201
sanitize-git-repo,587,0.2896,0.2896,242.624,0.6661,391,25.8296,16.6731,11.2981,0.1178,0.2803
schemelike-metacircular-eval,587,0.2743,0.2743,1141.292,0.6388,375,68.3203,14.9703,8.0792,0.1261,0.3317
financial-document-processor,587,0.2538,0.2538,452.647,0.6712,394,27.4668,26.9884,16.2674,0.1188,0.2433
fix-git,586,0.8788,0.8788,133.8715,0.6758,396,16.8259,16.6316,10.8421,0.1128,0.2529
vulnerable-secret,586,0.7338,0.7338,228.158,0.6706,393,29.3959,33.8136,24.0508,0.0769,0.2014
pytorch-model-cli,586,0.5,0.5,360.732,0.6468,379,17.657,11.1053,5.5263,0.1499,0.2237
sqlite-db-truncate,586,0.459,0.459,192.9535,0.6638,389,13.4659,11.451,5.0784,0.1244,0.2198
tune-mjcf,586,0.4061,0.4061,925.4835,0.6587,386,40.2645,10.233,3.835,0.143,0.4471
compile-compcert,586,0.3891,0.3891,1689.674,0.6758,396,53.6741,49.9375,34.3333,0.0753,0.333
qemu-alpine-ssh,586,0.2782,0.2782,798.506,0.6195,363,30.3208,25.7391,19.8478,0.0688,0.3246
protein-assembly,586,0.1877,0.1877,614.554,0.6382,374,22.5683,21.2353,12.7941,0.0908,0.2574
model-extraction-relu-logits,586,0.1314,0.1314,422.5485,0.6706,393,12.8396,7.844,2.0642,0.2192,0.2903
torch-tensor-parallelism,586,0.0887,0.0887,360.9465,0.6485,380,10.4812,6.1333,1.2381,0.2323,0.2547
torch-pipeline-parallelism,586,0.0666,0.0666,601.771,0.6433,377,10.9915,8.1939,2.6224,0.2249,0.2378
extract-moves-from-video,586,0.0239,0.0239,1262.5389,0.6468,379,34.1689,42.3065,31.7097,0.073,0.2723
install-windows-3.11,586,0.0222,0.0222,428.567,0.6621,388,41.2952,32.6957,19.3696,0.1166,0.2269
modernize-scientific-stack,585,0.9248,0.9248,125.767,0.6718,393,9.8991,8.4159,2.8584,0.1711,0.2165
nginx-request-logging,585,0.8017,0.8017,194.383,0.6735,394,17.6803,14.1019,8.7407,0.1759,0.2182
log-summary-date-ranges,585,0.6923,0.6923,123.602,0.6821,399,8.3043,9.0563,2.5352,0.258,0.2059
hf-model-inference,585,0.6615,0.6615,257.431,0.6632,388,18.0274,15.4364,9.7545,0.1669,0.2018
mcmc-sampling-stan,585,0.5795,0.5795,1108.355,0.6581,385,21.5385,16.8384,10.2626,0.1296,0.3369
build-pov-ray,585,0.5453,0.5453,447.568,0.6684,391,68.2154,40.3559,30.2034,0.0793,0.2532
feal-differential-cryptanalysis,585,0.3436,0.3436,790.037,0.6701,392,24.4051,7.9714,2.4571,0.1847,0.3175
adaptive-rejection-sampler,585,0.3111,0.3111,737.481,0.665,389,20.8855,14.75,6.275,0.1376,0.2949
filter-js-from-html,585,0.0051,0.0051,683.279,0.6718,393,15.5179,6.5841,1.4336,0.2117,0.2606
portfolio-optimization,584,0.8065,0.8065,357.5275,0.6695,391,17.2397,8.8704,3.75,0.1413,0.2781
git-multibranch,584,0.7003,0.7003,307.2365,0.6764,395,34.2928,23.0928,15.8557,0.1294,0.2099
pypi-server,584,0.6592,0.6592,236.373,0.649,379,22.6301,11.1939,4.4388,0.128,0.1974
openssl-selfsigned-cert,584,0.6301,0.6301,147.347,0.6781,396,13.2568,21.2762,15.6857,0.1923,0.2053
build-cython-ext,584,0.3493,0.3493,532.126,0.6712,392,44.1182,24.213,15.6944,0.0981,0.3164
query-optimize,584,0.3459,0.3459,947.2535,0.6695,391,14.1969,9.75,3.7407,0.1412,0.2261
write-compressor,584,0.1935,0.1935,926.497,0.6473,378,26.5736,7.4205,1.7727,0.1157,0.2595
gcode-to-text,584,0.0702,0.0702,293.241,0.6729,393,14.5668,17.8316,7.9579,0.1583,0.1955
caffe-cifar-10,584,0.024,0.024,1244.9425,0.6712,392,28.8853,24.6711,15.6053,0.0927,0.2806
git-leak-recovery,583,0.8542,0.8542,152.797,0.6827,398,15.7684,11.0326,5.3152,0.1224,0.2268
regex-log,583,0.6792,0.6792,209.398,0.6587,384,8.283,6.2018,1.3486,0.2672,0.2498
merge-diff-arc-agi-task,583,0.6278,0.6278,309.424,0.6724,392,26.4357,30.8318,22.0561,0.1111,0.2498
large-scale-text-editing,583,0.4889,0.4889,423.702,0.6758,394,38.6844,7.6449,2.6168,0.1317,0.3232
gpt2-codegolf,583,0.0172,0.0172,650.088,0.6878,401,17.3979,11.6882,4.1935,0.1552,0.2814
sam-cell-seg,583,0.0172,0.0172,807.547,0.6621,386,31.4443,13.2593,6.4074,0.149,0.2862
raman-fitting,583,0.0154,0.0154,354.005,0.6741,393,14.8902,10.9054,5.4595,0.1508,0.2466
fix-code-vulnerability,582,0.6082,0.6082,286.98,0.6735,392,31.8093,22.982,13.2973,0.1313,0.304
overfull-hbox,582,0.3351,0.3351,403.4675,0.6495,378,30.4313,9.6842,3.9895,0.1483,0.3538
polyglot-c-py,582,0.1426,0.1426,349.4165,0.6443,375,21.4502,6.45,1.69,0.1798,0.304
mteb-retrieve,582,0.0584,0.0584,206.8705,0.6821,397,10.0447,10.131,5.2857,0.2694,0.2168
pytorch-model-recovery,581,0.4647,0.4647,684.148,0.5525,321,16.4836,12.8679,7.5283,0.0851,0.3248
train-fasttext,581,0.0258,0.0258,3645.2939,0.6489,377,45.5473,17.6462,11.0615,0.0802,0.4224
feal-linear-cryptanalysis,580,0.3224,0.3224,996.895,0.6793,394,33.1155,8.4811,2.9623,0.1138,0.2792
regex-chess,580,0.081,0.081,1028.1875,0.631,366,33.1069,8.7692,2.6923,0.1501,0.2937
mteb-leaderboard,580,0.0776,0.0776,550.7615,0.669,388,31.5345,42.6438,32.4247,0.1208,0.2422
reshard-c4-data,579,0.4629,0.4629,501.376,0.6459,374,27.247,11.8962,5.3302,0.1328,0.2167
mailman,579,0.4508,0.4508,647.045,0.6615,383,52.4456,14.301,8.2816,0.0998,0.268
rstan-to-pystan,579,0.3558,0.3558,1336.675,0.5976,346,34.7427,13.7222,7.6444,0.0935,0.3776
path-tracing-reverse,579,0.1606,0.1606,801.959,0.6269,363,47.8895,43.2366,31.5484,0.0856,0.2376
polyglot-rust-c,579,0.1399,0.1399,809.646,0.6287,364,28.3385,6.6,1.5778,0.1793,0.3437
fix-ocaml-gc,577,0.5234,0.5234,1669.241,0.643,371,67.8925,25.9439,15.7009,0.1081,0.3864
