agent,tool_category,count,share
claude-code,plan,8535,0.09900473273942094
claude-code,shell,49692,0.5764198218262806
claude-code,edit,14583,0.16916063474387527
claude-code,read,9507,0.11027978841870824
claude-code,other,3891,0.045135022271714925
codex,shell,20148,0.9468935050286681
codex,plan,1084,0.05094463765391484
codex,other,46,0.0021618573174170506
deepagent-harbor,shell,6275,0.5494264950529726
deepagent-harbor,read,3235,0.2832501532265126
deepagent-harbor,edit,980,0.08580684703616145
deepagent-harbor,plan,162,0.014184397163120567
deepagent-harbor,other,769,0.06733210752123282
gemini-cli,shell,7165,0.5574140345417768
gemini-cli,edit,3251,0.25291737980395207
gemini-cli,read,1611,0.12533063637778125
gemini-cli,other,827,0.06433794927648981
judy,plan,383,0.054535098960558165
judy,shell,5141,0.7320233518439413
judy,edit,575,0.08187384308699985
judy,other,258,0.03673643741990602
judy,read,666,0.09483126868859462
mini-swe-agent,shell,134708,1.0
openhands,shell,271728,0.6345804890693857
openhands,plan,27724,0.06474529484984855
openhands,edit,102480,0.23932685818108784
openhands,other,26269,0.061347357899677955
terminus-2,shell,673645,0.960656499827447
terminus-2,other,27589,0.039343500172552955
terminus-3-3,shell,27724,0.9169505539937159
terminus-3-3,other,1756,0.05807838597651728
terminus-3-3,read,755,0.024971060029766828
