agent,intent,count,share
claude-code,plan,8535,0.09900473273942094
claude-code,inspect,4231,0.0490789717891611
claude-code,dependency,2836,0.032897178916109875
claude-code,edit,17221,0.19976104305864886
claude-code,run,9241,0.10719422791388271
claude-code,read,12068,0.13998700816629547
claude-code,other,27313,0.3168267446176689
claude-code,search,2128,0.024684484038604307
claude-code,test,186,0.0021575723830734965
claude-code,build,2449,0.028408036377134373
codex,other,8171,0.38401165523075476
codex,run,3726,0.17511044271078108
codex,read,2715,0.1275965786258107
codex,edit,1667,0.07834382930726572
codex,inspect,1741,0.08182159977441489
codex,search,1344,0.06316383118714165
codex,plan,1084,0.05094463765391484
codex,test,77,0.0036187611617633235
codex,build,269,0.012642165617069273
codex,dependency,484,0.02274649873108375
deepagent-harbor,run,1985,0.17380264425181682
deepagent-harbor,other,3750,0.3283425269240872
deepagent-harbor,read,3250,0.2845635233342089
deepagent-harbor,edit,1397,0.12231853603011995
deepagent-harbor,plan,162,0.014184397163120567
deepagent-harbor,inspect,384,0.03362227475702653
deepagent-harbor,dependency,287,0.02512914806059014
deepagent-harbor,test,43,0.0037649943087295335
deepagent-harbor,build,160,0.014009281148761054
deepagent-harbor,search,3,0.0002626740215392698
gemini-cli,run,1920,0.14936984596234634
gemini-cli,dependency,904,0.07032830247393808
gemini-cli,edit,4009,0.3118873502411701
gemini-cli,read,1858,0.14454644468647893
gemini-cli,other,3215,0.25011669519215807
gemini-cli,inspect,266,0.020693947409366736
gemini-cli,test,61,0.004745604481095379
gemini-cli,search,223,0.017348685234168354
gemini-cli,build,398,0.030963124319278047
judy,plan,383,0.054535098960558165
judy,other,5399,0.7687597892638474
judy,edit,575,0.08187384308699985
judy,read,666,0.09483126868859462
mini-swe-agent,dependency,7011,0.05204590670190338
mini-swe-agent,other,49449,0.3670828755530481
mini-swe-agent,run,16114,0.1196217002702141
mini-swe-agent,inspect,8834,0.0655788817293702
mini-swe-agent,finish,8285,0.06150339994655106
mini-swe-agent,read,22969,0.17050954657481368
mini-swe-agent,search,6682,0.04960358701784601
mini-swe-agent,edit,11537,0.08564450515188407
mini-swe-agent,test,379,0.0028134928883214064
mini-swe-agent,build,3448,0.025596104166048045
openhands,inspect,25458,0.05945338754463441
openhands,dependency,26124,0.061008731880588786
openhands,run,72280,0.16879923213630982
openhands,plan,27724,0.06474529484984855
openhands,edit,120136,0.28055983054686934
openhands,read,22063,0.051524867994236355
openhands,search,15561,0.03634041022790699
openhands,other,92804,0.21672999362448944
openhands,finish,4396,0.010266206758041201
openhands,control,10513,0.024551554059892435
openhands,test,1355,0.0031644017645918623
openhands,build,9787,0.022856088612590815
terminus-2,inspect,62347,0.08891040651194894
terminus-2,other,288526,0.41145466420624216
terminus-2,dependency,26901,0.038362372617414445
terminus-2,run,82527,0.11768824671935474
terminus-2,read,110892,0.15813836750642438
terminus-2,edit,45664,0.06511948935733293
terminus-2,search,30834,0.04397105673712341
terminus-2,finish,27589,0.039343500172552955
terminus-2,control,7004,0.009988106680508932
terminus-2,test,1885,0.0026881183741803735
terminus-2,build,17065,0.02433567111691675
terminus-3-3,inspect,2074,0.0685959980155449
terminus-3-3,dependency,1010,0.033404994212005955
terminus-3-3,other,13894,0.4595336530510997
terminus-3-3,run,2537,0.08390937655035555
terminus-3-3,read,5180,0.17132462378038696
terminus-3-3,edit,1924,0.06363486026128659
terminus-3-3,search,1127,0.037274681660327436
terminus-3-3,finish,1756,0.05807838597651728
terminus-3-3,control,193,0.006383330577145692
terminus-3-3,test,62,0.002050603605093435
terminus-3-3,build,478,0.01580949231023648
