tool_name,count
bash_command,836077
execute_bash,271728
str_replace_editor,102480
Bash,47735
mark_task_complete,29345
execute_ipython_cell,21873
shell,20148
task_tracker,19030
run_shell_command,12139
think,8694
TodoWrite,8458
Read,8168
Write,7935
Edit,6648
execute,6275
finish,4396
read_file,4273
write_file,2531
WebFetch,2354
BashOutput,1731
replace,1628
Grep,1339
update_plan,1084
grep,912
image_read,755
edit_file,559
Glob,556
ls,479
google_web_search,389
save_plan,383
Task,361
TaskOutput,305
WebSearch,284
KillShell,226
end_execution,224
list_directory,221
glob,204
write_todos,162
finish_verification,131
open_image,108
search_file_content,98
web_fetch,93
replace_file,88
wait_shell_command,85
ExitPlanMode,72
read_many_files,68
interact_with_shell,46
fetch_url,45
view_image,44
web_search,41
call_llm_batch,34
TaskStop,27
http_request,23
kill_shell_command,21
read_media,20
run-shell-command,7
EnterPlanMode,5
AskUserQuestion,4
run_shell-command,3
"run_
shell_command",2
list_mcp_resources,2
run_-shell_command,2
google_web_secret,1
run.py,1
run_aqa_and_get_verdict,1
"run_

shell_command",1
